"","country","code","year","annual_water_use"
"145","Slovenia","SVN","2023",887300000
"146","Somalia","SOM","2023",3.298e+09
"147","South Africa","ZAF","2023",1.55e+10
"148","South Korea","KOR","2023",2.92e+10
"149","South Sudan","SSD","2023",6.58e+08
"150","Spain","ESP","2023",3.285e+10
"151","Sri Lanka","LKA","2023",1.295e+10
"152","St. Vincent & Grenadines","VCT","2023",8500000
"153","State of Palestine","PSE","2023",363600000
"154","Sudan","SDN","2023",2.693e+10
"155","Suriname","SUR","2023",615900000
"156","Sweden","SWE","2023",2.689e+09
"157","Switzerland","CHE","2023",2.005e+09
"158","Syria","SYR","2023",1.676e+10
"159","Tajikistan","TJK","2023",1.149e+10
"160","Tanzania","TZA","2023",5.184e+09
"161","Thailand","THA","2023",5.731e+10
"162","Timor-Leste","TLS","2023",1.172e+09
"163","Togo","TGO","2023",1.69e+08
"164","Trinidad and Tobago","TTO","2023",383200000
"165","Tunisia","TUN","2023",4.875e+09
"166","Turkey","TUR","2023",5.895e+10
"167","Turkmenistan","TKM","2023",2.795e+10
"168","Uganda","UGA","2023",6.37e+08
"169","Ukraine","UKR","2023",9.862e+09
"170","United Arab Emirates","ARE","2023",3.998e+09
"171","United Kingdom","GBR","2023",8.42e+09
"172","United States","USA","2023",4.443e+11
"173","Uruguay","URY","2023",3.66e+09
"174","Uzbekistan","UZB","2023",5.456e+10
"175","Venezuela","VEN","2023",2.263e+10
"176","Vietnam","VNM","2023",8.203e+10
"177","Yemen","YEM","2023",3.565e+09
"178","Zambia","ZMB","2023",1.572e+09
"179","Zimbabwe","ZWE","2023",3.57e+09
