"","country","code","year","annual_water_use"
"143","Sierra Leone","SLE",2023,"212200000"
"144","Slovakia","SVK",2023,"535000000"
"145","Slovenia","SVN",2023,"887300000"
"146","Somalia","SOM",2023,"3298000000"
"147","South Africa","ZAF",2023,"15500000000"
"148","South Korea","KOR",2023,"29200000000"
"149","South Sudan","SSD",2023,"658000000"
"150","Spain","ESP",2023,"32850000000"
"151","Sri Lanka","LKA",2023,"12950000000"
"152","St. Vincent & Grenadines","VCT",2023,"8500000"
"153","State of Palestine","PSE",2023,"363600000"
"154","Sudan","SDN",2023,"26930000000"
"155","Suriname","SUR",2023,"615900000"
"156","Sweden","SWE",2023,"2689000000"
"157","Switzerland","CHE",2023,"2005000000"
"158","Syria","SYR",2023,"16760000000"
"159","Tajikistan","TJK",2023,"11490000000"
"160","Tanzania","TZA",2023,"5184000000"
"161","Thailand","THA",2023,"57310000000"
"162","Timor-Leste","TLS",2023,"1172000000"
"163","Togo","TGO",2023,"169000000"
"164","Trinidad and Tobago","TTO",2023,"383200000"
"165","Tunisia","TUN",2023,"4875000000"
"166","Turkey","TUR",2023,"58950000000"
"167","Turkmenistan","TKM",2023,"27950000000"
"168","Uganda","UGA",2023,"637000000"
"169","Ukraine","UKR",2023,"9862000000"
"170","United Arab Emirates","ARE",2023,"3998000000"
"171","United Kingdom","GBR",2023,"8420000000"
"172","United States","USA",2023,"4,443E+11"
"173","Uruguay","URY",2023,"3660000000"
"174","Uzbekistan","UZB",2023,"54560000000"
"175","Venezuela","VEN",2023,"22630000000"
"176","Vietnam","VNM",2023,"82030000000"
"177","Yemen","YEM",2023,"3565000000"
"178","Zambia","ZMB",2023,"1572000000"
"179","Zimbabwe","ZWE",2023,"3570000000"
