Country;Annual_Water_Use;Daily_Water_Use_Per_Capita;Population
Sierra Leone;212200000;102;5683334
Slovakia;535000000;270;5431203
Slovenia;887300000;1163;2090020
Somalia;3298000000;926;9758281
South Africa;15500000000;788;53873616
South Korea;29200000000;1671;47889573
South Sudan;658000000;176;10243050
Spain;32850000000;1937;46464551
Sri Lanka;12950000000;1803;19673866
St. Vincent & Grenadines;8500000;217;107450
State of Palestine;363600000;217;4593848
Sudan;26930000000;2144;34419624
Suriname;615900000;3232;522023
Sweden;2689000000;785;9381729
Switzerland;2005000000;687;7995738
Syria;16760000000;2471;18583557
Tajikistan;11490000000;4460;7057417
Tanzania;5184000000;391;36353531
Thailand;57310000000;2350;66826754
Timor-Leste;1172000000;3394;945989
Togo;169000000;88;5281538
Trinidad and Tobago;383200000;739;1420020
Tunisia;4875000000;1131;11811443
Turkey;58950000000;1993;81019394
Turkmenistan;27950000000;15888;4819792
Uganda;637000000;57;30509862
Ukraine;9862000000;603;44833569
United Arab Emirates;3998000000;2559;4280993
United Kingdom;8420000000;351;65655203
United States;4,443E+11;3750;324607776
Uruguay;3660000000;3046;3292224
Uzbekistan;54560000000;4752;31453574
Venezuela;22630000000;2252;27525097
Vietnam;82030000000;2703;83142095
Yemen;3565000000;458;21320671
Zambia;1572000000;410;10508294
Zimbabwe;3570000000;786;12450568
