RANK,COUNTRY,"2022SCORE","2020SCORE","VARIATION INSCORE","2020RANK","VARIATION INRANK","RELIGIONINDICATORS","BIOETHICALINDICATORS","DRUGSINDICATORS","SEXUALITYINDICATORS","GENDERINDICATORS","OVERALL MORAL FREEDOMCLASSIFICATION"
89,Lebanon,"45,20","48,20","-3,00",83.0,-6.0,"76,05","15,63","37,84","67,50","29,00",INSUFFICIENT
90,Angola,"44,84","46,09","-1,25",95.0,5.0,"79,95","15,63","21,11","65,00","42,50",INSUFFICIENT
91,Suriname,"44,80","44,80","0,00",100.0,9.0,"96,13","15,63","19,76","62,50","30,00",INSUFFICIENT
92,Cambodia,"44,63","45,38","-0,75",99.0,7.0,"53,97","77,50","36,70","25,00","30,00",INSUFFICIENT
93,Malawi,"44,60","46,47","-1,87",91.0,-2.0,"86,00","15,63","38,86","62,50","20,00",INSUFFICIENT
94,Tonga,"44,53","43,40","1,13",106.0,12.0,"74,50","15,63","20,01","82,50","30,00",INSUFFICIENT
95,Solomon Islands,"44,12","44,12","0,00",103.0,8.0,"96,13","15,63","21,33","62,50","25,00",INSUFFICIENT
96,Belarus,"43,95","47,70","-3,75",84.0,-12.0,"54,40","87,50","17,36","22,50","38,00",INSUFFICIENT
97,Guinea,"43,94","47,69","-3,75",85.0,-12.0,"76,38","31,25","22,08","65,00","25,00",INSUFFICIENT
98,Nepal,"43,84","47,59","-3,75",86.0,-12.0,"62,38","62,50","38,82","22,50","33,00",INSUFFICIENT
99,"Bahamas, The","43,77","47,52","-3,75",87.0,-12.0,"79,25","31,25","15,87","62,50","30,00",INSUFFICIENT
100,"Gambia, The","43,62","43,62","0,00",104.0,4.0,"87,30","31,25","22,04","52,50","25,00",INSUFFICIENT
101,Venezuela,"43,55","45,43","-1,88",98.0,-3.0,"71,56","20,63","16,08","77,50","32,00",INSUFFICIENT
102,Cuba,"43,53","43,53","-0,01",105.0,3.0,"49,78","62,50","14,85","57,50","33,00",INSUFFICIENT
103,Nicaragua,"43,15","46,15","-3,00",94.0,-9.0,"70,75","0,00","17,52","97,50","30,00",INSUFFICIENT
104,Thailand,"42,70","36,20","6,50",124.0,20.0,"40,69","77,50","22,29","45,00","28,00",INSUFFICIENT
105,Ethiopia,"42,69","44,57","-1,88",101.0,-4.0,"69,11","31,25","20,60","67,50","25,00",INSUFFICIENT
106,Seychelles,"42,61","46,36","-3,76",92.0,-14.0,"75,50","31,25","16,28","65,00","25,00",INSUFFICIENT
107,Laos,"42,26","38,26","4,00",117.0,10.0,"67,00","51,25","38,05","25,00","30,00",INSUFFICIENT
108,Turkey,"42,14","42,14","0,00",108.0,0.0,"31,32","62,50","31,39","47,50","38,00",INSUFFICIENT
109,El Salvador,"42,01","47,38","-5,38",88.0,-21.0,"83,88","0,00","13,65","82,50","30,00",INSUFFICIENT
110,Guyana,"41,12","44,12","-3,00",102.0,-8.0,"77,38","62,50","18,24","22,50","25,00",INSUFFICIENT
111,Haiti,"41,11","41,11","0,00",110.0,-1.0,"96,13","15,63","21,30","52,50","20,00",INSUFFICIENT
112,Mauritius,"40,74","40,74","0,00",112.0,0.0,"96,13","15,63","19,46","42,50","30,00",INSUFFICIENT
113,Azerbaijan,"40,59","42,47","-1,88",107.0,-6.0,"43,73","67,50","15,23","42,50","34,00",INSUFFICIENT
114,Dominica,"39,48","39,48","0,00",114.0,0.0,"96,13","15,63","18,17","42,50","25,00",LOW
115,Nigeria,"39,25","35,50","3,75",127.0,12.0,"67,54","36,25","21,96","52,50","18,00",LOW
116,Zimbabwe,"39,01","40,89","-1,88",111.0,-5.0,"73,01","31,25","38,29","22,50","30,00",LOW
117,Tuvalu,"38,77","38,77","0,00",115.0,-2.0,"84,88","15,63","20,85","42,50","30,00",LOW
118,Dominican Republic,"38,31","38,31","0,00",116.0,-2.0,"95,13","0,00","18,95","47,50","30,00",LOW
119,Vietnam,"37,90","37,90","0,00",119.0,0.0,"37,66","82,50","16,83","22,50","30,00",LOW
120,Cameroon,"37,85","41,60","-3,75",109.0,-11.0,"77,38","31,25","20,64","40,00","20,00",LOW
121,China,"36,86","36,86","0,00",121.0,0.0,"38,08","62,50","20,70","25,00","38,00",LOW
122,Uzbekistan,"36,73","36,73","0,00",122.0,0.0,"44,15","62,50","16,50","22,50","38,00",LOW
123,Comoros,"36,27","38,14","-1,87",118.0,-5.0,"21,75","31,25","18,35","65,00","45,00",LOW
124,Eswatini,"35,75","37,63","-1,88",120.0,-4.0,"76,38","31,25","18,63","22,50","30,00",LOW
125,"Korea, North","35,75","35,75","0,00",126.0,1.0,"37,50","62,50","28,75","25,00","25,00",LOW
126,Papua New Guinea,"35,41","35,41","0,00",128.0,2.0,"96,13","15,63","21,57","18,75","25,00",LOW
127,Rwanda,"34,54","32,66","1,88",132.0,5.0,"69,11","31,25","14,84","32,50","25,00",LOW
128,Sri Lanka,"34,26","36,39","-2,13",123.0,-5.0,"60,76","15,63","38,43","22,50","34,00",LOW
129,Central African Republic,"33,50","33,50","0,00",131.0,2.0,"20,88","15,63","18,51","87,50","25,00",LOW
130,Bangladesh,"33,26","31,38","1,88",135.0,5.0,"31,18","15,63","35,47","60,00","24,00",LOW
131,Equatorial Guinea,"32,96","35,96","-3,00",125.0,-6.0,"74,50","31,25","21,56","12,50","25,00",LOW
132,Malaysia,"32,65","34,53","-1,88",129.0,-3.0,"67,97","31,25","19,05","30,00","15,00",LOW
133,Algeria,"32,47","34,35","-1,88",130.0,-3.0,"13,38","31,25","20,24","77,50","20,00",LOW
134,Uganda,"32,34","32,34","0,00",133.0,-1.0,"76,05","31,25","16,89","12,50","25,00",LOW
135,Morocco,"30,18","32,06","-1,88",134.0,-1.0,"29,46","31,25","32,70","32,50","25,00",LOW
136,Myanmar,"29,79","29,79","0,00",137.0,1.0,"12,14","15,63","33,69","62,50","25,00",LOW
137,Jordan,"29,58","29,58","0,00",138.0,1.0,"29,60","31,25","19,53","62,50","5,00",LOW
138,Indonesia,"27,11","30,61","-3,51",136.0,-2.0,"20,51","31,25","17,27","42,50","24,00",LOW
139,Turkmenistan,"26,89","26,89","0,00",140.0,1.0,"5,00","67,50","10,47","22,50","29,00",LOW
140,Djibouti,"26,73","26,73","0,00",141.0,1.0,"26,50","15,63","14,01","52,50","25,00",LOW
141,Eritrea,"25,28","27,03","-1,76",139.0,-2.0,"20,13","31,25","11,25","38,75","25,00",LOW
142,Mauritania,"22,57","24,44","-1,87",142.0,0.0,"3,00","15,63","21,71","52,50","20,00",LOW
143,Egypt,"22,54","24,42","-1,88",143.0,0.0,"12,57","15,63","17,01","52,50","15,00",LOW
144,Pakistan,"22,20","22,20","0,00",144.0,0.0,"15,31","31,25","39,43","0,00","25,00",LOW
145,Bahrain,"21,55","21,55","0,00",146.0,1.0,"15,00","67,50","15,24","0,00","10,00",LOW
146,Qatar,"20,47","20,47","0,00",147.0,1.0,"31,88","31,25","21,71","12,50","5,00",LOW
147,Iraq,"19,92","21,80","-1,88",145.0,-2.0,"9,63","15,63","16,86","52,50","5,00",VERY LOW
148,Syria,"19,78","19,78","0,00",149.0,1.0,"30,45","15,63","17,85","25,00","10,00",VERY LOW
149,Somalia,"18,88","15,13","3,75",155.0,6.0,"35,00","15,63","11,25","12,50","20,00",VERY LOW
150,Maldives,"18,40","20,28","-1,88",148.0,-2.0,"25,75","31,25","15,02","0,00","20,00",VERY LOW
151,Libya,"17,98","17,98","0,00",150.0,-1.0,"18,21","31,25","20,42","0,00","20,00",VERY LOW
152,Kuwait,"16,02","16,02","0,00",152.0,0.0,"21,88","31,25","17,00","0,00","10,00",VERY LOW
153,Oman,"15,77","15,77","0,00",153.0,0.0,"24,38","31,25","18,21","0,00","5,00",VERY LOW
154,Iran,"15,51","15,51","0,00",154.0,0.0,"7,08","20,63","31,84","0,00","18,00",VERY LOW
155,Sudan,"14,79","14,79","0,00",156.0,1.0,"3,48","31,25","14,22","25,00","0,00",VERY LOW
156,Brunei,"14,18","16,05","-1,87",151.0,-5.0,"12,38","15,63","10,40","22,50","10,00",VERY LOW
157,Saudi Arabia,"12,86","12,86","0,00",157.0,0.0,"8,53","31,25","4,55","0,00","20,00",VERY LOW
158,United Arab Emirates,"10,27","12,14","-1,87",158.0,0.0,"8,53","15,63","17,19","0,00","10,00",VERY LOW
159,Yemen,"10,19","10,19","0,00",159.0,0.0,"12,38","15,63","17,96","0,00","5,00",VERY LOW
160,Afghanistan,"9,59","9,59","0,00",160.0,0.0,"12,38","15,63","9,95","0,00","10,00",LOWEST
