"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HUR","WOMEN","PC_LF","M","1997-02",3.8,
"LUX","HUR","WOMEN","PC_LF","M","1997-03",3.7,
"LUX","HUR","WOMEN","PC_LF","M","1997-04",3.7,
"LUX","HUR","WOMEN","PC_LF","M","1997-05",3.8,
"LUX","HUR","WOMEN","PC_LF","M","1997-06",3.9,
"LUX","HUR","WOMEN","PC_LF","M","1997-07",3.9,
"LUX","HUR","WOMEN","PC_LF","M","1997-08",4,
"LUX","HUR","WOMEN","PC_LF","M","1997-09",4.1,
"LUX","HUR","WOMEN","PC_LF","M","1997-10",4.1,
"LUX","HUR","WOMEN","PC_LF","M","1997-11",4.1,
"LUX","HUR","WOMEN","PC_LF","M","1997-12",4.2,
"LUX","HUR","WOMEN","PC_LF","M","1998-01",4.2,
"LUX","HUR","WOMEN","PC_LF","M","1998-02",4.2,
"LUX","HUR","WOMEN","PC_LF","M","1998-03",4.2,
"LUX","HUR","WOMEN","PC_LF","M","1998-04",4.2,
"LUX","HUR","WOMEN","PC_LF","M","1998-05",4.2,
"LUX","HUR","WOMEN","PC_LF","M","1998-06",4.1,
"LUX","HUR","WOMEN","PC_LF","M","1998-07",4,
"LUX","HUR","WOMEN","PC_LF","M","1998-08",3.9,
"LUX","HUR","WOMEN","PC_LF","M","1998-09",3.8,
"LUX","HUR","WOMEN","PC_LF","M","1998-10",3.8,
"LUX","HUR","WOMEN","PC_LF","M","1998-11",3.7,
"LUX","HUR","WOMEN","PC_LF","M","1998-12",3.4,
"LUX","HUR","WOMEN","PC_LF","M","1999-01",3.4,
"LUX","HUR","WOMEN","PC_LF","M","1999-02",3.5,
"LUX","HUR","WOMEN","PC_LF","M","1999-03",3.4,
"LUX","HUR","WOMEN","PC_LF","M","1999-04",3.4,
"LUX","HUR","WOMEN","PC_LF","M","1999-05",3.3,
"LUX","HUR","WOMEN","PC_LF","M","1999-06",3.3,
"LUX","HUR","WOMEN","PC_LF","M","1999-07",3.3,
"LUX","HUR","WOMEN","PC_LF","M","1999-08",3.4,
"LUX","HUR","WOMEN","PC_LF","M","1999-09",3.4,
